Abalos Colles,76.83,288.35,235
Abalos Mensa,81.17,284.4,129
Abalos Scopuli,80.72,283.44,109
Abalos Undae,78.52,272.5,442
Aban,15.91,111.1,4
Abus Vallis,-5.49,212.8,60
Achar,45.43,123.16,5
Acheron Catena,37.47,259.2,421
Acheron Fossae,38.27,224.98,703
Acidalia Colles,50.34,336.91,356
Acidalia Mensa,46.69,334.66,226
Acidalia Planitia,49.76,339.26,3362
Ada,-3.06,356.78,2
Adamas Labyrinthus,35.7,105.12,853
Adams,30.91,163.1,90
Aeolis,-4.94,145.0,0
Aeolis Dorsa,-5.05,152.63,459
Aeolis Mensae,-3.25,140.63,785
Aeolis Mons,-5.08,137.85,88
Aeolis Palus,-4.47,137.42,111
Aeolis Planum,-1.14,144.76,852
Aeolis Serpens,-1.38,149.57,538
Aeria,9.88,50.0,0
Aesacus Dorsum,36.82,153.15,276
Aetheria,39.67,130.0,0
Aethiopis,9.88,130.0,0
Aganippe Fossa,-8.49,234.0,537
Agassiz,-69.88,271.11,108
Airy,-5.14,0.05,43
Airy-0,-5.07,0.0,0
Ajon,16.49,103.14,8
Aki,-35.46,299.76,7
Aktaj,20.41,313.51,5
Alamos,23.48,322.88,6
Alba Catena,35.04,245.42,144
Alba Fossae,49.39,253.18,2072
Alba Mons,41.08,249.29,548
Albany,22.96,310.98,2
Alba Patera,39.53,250.82,65
Albi,-41.47,324.99,9
Albor Fossae,18.09,150.78,155
Albor Tholus,18.87,150.47,158
Alexey Tolstoy,-47.44,125.34,93
Alga,-24.34,333.32,18
Alitus,-34.91,321.86,50
Allegheny Vallis,-9.01,306.1,171
Alnif,-15.14,328.91,23
Alpheus Colles,-39.38,61.53,633
Al-Qahira Vallis,-18.23,162.41,600
Amazonis,0.0,220.0,0
Amazonis Mensa,-1.98,213.1,414
Amazonis Planitia,25.75,197.09,2809
Amazonis Sulci,-2.15,216.29,250
Amenthes,4.94,110.0,0
Amenthes Cavi,16.23,114.52,1330
Amenthes Fossae,9.07,102.68,850
Amenthes Planum,3.4,105.92,0
Amenthes Rupes,1.51,110.68,335
Amet,23.45,302.6,0
Ammonii Rupes,-6.52,175.8,100
Amphitrites Patera,-58.7,60.87,129
Amsterdam,23.0,313.0,1
Andapa,-5.33,355.27,11
Angu,20.01,105.64,2
Angusta Patera,-80.59,280.5,15
Angustus Labyrinthus,-81.62,296.61,67
Aniak,-31.84,290.44,50
Anio Valles,37.75,55.89,54
Annapolis,23.16,312.27,1
Anseris Cavus,-29.71,95.5,35
Anseris Mons,-29.81,86.65,52
Antoniadi,21.38,60.83,400
Aonia Mons,-53.33,272.08,27
Aonia Planum,-57.9,281.33,563
Aonia Terra,-60.2,262.95,3873
Aonia Tholus,-59.04,279.96,53
Aonium Sinus,-44.66,255.0,0
Apia,-37.28,89.02,10
Apodis Catena,-26.93,103.2,0
Apollinaris Mons,-9.17,174.79,275
Apollinaris Patera,-8.57,174.18,89
Apollinaris Sulci,-11.06,177.47,188
Apollinaris Tholus,-17.64,175.75,32
Apollo Patera,17.94,226.45,24
Apsus Vallis,34.91,134.99,121
Apt,39.88,350.53,9
Arabia,19.78,30.0,0
Arabia Terra,21.25,5.72,4851
Arago,10.22,29.93,152
Aram Chaos,2.52,337.61,283
Aram Dorsum,7.8,348.76,83
Arandas,42.41,344.97,24
Arcadia,44.66,260.0,0
Arcadia Dorsa,55.9,222.44,1952
Arcadia Planitia,47.19,184.31,1871
Arda Valles,-20.4,327.69,173
Arena Colles,24.63,82.93,580
Arena Dorsum,12.71,68.94,372
Arena Rupes,13.35,70.5,375
Ares Vallis,10.29,334.39,1757
Argas,23.33,309.83,3
Argentea Planum,-72.49,298.33,1370
Argyre,-44.66,335.0,0
Argyre Cavi,-48.31,319.88,72
Argyre Mons,-50.37,311.91,60
Argyre Planitia,-49.84,316.69,892
Argyre Rupes,-62.15,291.25,335
Ariadnes Colles,-34.5,172.78,188
Arica,-23.8,110.24,15
Arima,-15.84,296.32,53
Arimanes Rupes,-9.84,212.3,192
Arkhangelsky,-41.09,335.21,116
Arnon,47.66,25.0,0
Arnus Vallis,13.97,70.61,311
Aromatum Chaos,-1.03,317.03,72
Arrhenius,-40.04,122.71,122
Arsia Chasmata,-7.47,240.65,97
Arsia Mons,-8.26,239.91,470
Arsia Sulci,-6.29,230.19,500
Arsinoes Chaos,-7.66,332.08,200
Arta,21.38,305.71,3
Artik,-34.8,130.98,5
Artynia Catena,47.69,240.55,279
Asau,-3.63,154.68,25
Ascraeus Chasmata,8.77,254.37,105
Ascraeus Mensa,11.72,252.11,34
Ascraeus Mons,11.92,255.92,456
Ascraeus Sulci,12.06,251.25,138
Ascuris Planum,40.59,279.22,617
Asimov,-46.97,4.93,80
Asopus Vallis,-4.29,210.39,40
Aspen,-21.39,336.85,18
Aspledon Undae,73.06,309.65,215
Astapus Colles,35.46,88.08,597
Athabasca Valles,8.54,155.01,270
Athena Patera,18.74,227.18,19
Atlantis Chaos,-34.28,182.69,181
Atrax Dorsum,38.19,271.0,33
Atrax Fossa,38.19,271.02,34
Auce,-27.17,80.14,37
Auki,-15.76,96.87,40
Auqakuh Vallis,30.25,60.41,347
Aureum Chaos,-3.89,333.04,351
Aurorae Chaos,-8.47,325.19,713
Aurorae Planum,-10.41,311.38,564
Aurorae Sinus,-14.83,310.0,0
Ausonia,-39.67,110.0,0
Ausonia Cavus,-31.92,96.55,49
Ausonia Mensa,-30.02,97.72,102
Ausonia Montes,-25.42,99.04,333
Australe Lingula,-84.05,68.56,436
Australe Mensa,-86.88,357.24,172
Australe Montes,-80.19,14.05,411
Australe Scopuli,-83.48,247.06,504
Australe Sulci,-84.99,133.06,357
Australis Patera,-80.09,308.3,12
Australis Tholus,-58.7,37.0,40
Auxo Dorsum,-55.72,318.24,82
Avan,-10.97,290.23,3
Avarua,-35.93,109.66,49
Aveiro,21.28,281.03,9
Avernus Cavi,-3.72,172.52,115
Avernus Colles,-1.73,171.02,238
Avernus Dorsa,-6.03,170.9,296
Avernus Rupes,-9.2,172.8,223
Avire,-40.82,200.24,6
Axius Valles,-54.53,70.72,435
Ayacucho,38.18,267.97,2
Ayr,-38.98,91.58,12
Azul,-42.07,317.49,19
Azusa,-5.48,319.68,39
Babakin,-36.0,288.56,76
Bacht,18.66,102.7,7
Bacolor,32.99,118.6,21
Bada,20.35,309.31,2
Badwater,-32.79,62.14,33
Baetis Chaos,-0.17,299.6,66
Baetis Chasma,-4.29,295.13,92
Baetis Labēs,-3.67,288.54,88
Baetis Mensa,-5.17,287.55,181
Bahn,-3.5,316.68,11
Bahram Vallis,20.42,302.86,269
Bak,18.05,103.78,3
Bakhuysen,-22.97,15.73,152
Balboa,-3.82,326.12,21
Baldet,22.76,65.48,181
Balta,-23.82,333.45,17
Baltia,59.71,310.0,0
Baltisk,-42.27,305.34,50
Balvicar,16.2,306.76,20
Bam,-25.79,115.67,6
Bamba,-3.36,318.41,22
Bamberg,39.71,356.9,55
Banff,17.51,329.29,5
Banh,19.42,304.5,14
Baphyras Catena,38.83,275.84,95
Bar,-25.25,340.5,2
Barabashov,47.33,291.25,120
Barnard,-61.06,61.59,121
Baro,-24.8,110.7,16
Barsukov,7.97,330.98,68
Bashkaus Valles,-25.68,356.74,246
Basin,17.82,107.0,15
Bathys Planum,-42.66,254.0,626
Batoka,-7.55,323.35,14
Batoş,21.5,330.5,17
Baucau,-28.37,304.9,17
Baum,-24.72,28.3,62
Baykonyr,46.41,132.68,3
Bazas,-27.78,93.38,16
Becquerel,21.89,352.06,165
Beer,-14.47,351.83,85
Beloha,-39.58,56.71,31
Beltra,18.01,102.4,7
Belyov,-45.02,201.99,0
Belz,21.57,316.77,10
Bend,-22.4,332.26,3
Bentham,-55.78,319.45,11
Bentong,-22.31,340.96,10
Bernard,-23.24,205.79,128
Berseba,-4.4,322.4,36
Beruri,5.27,81.24,45
Betio,-23.13,281.35,32
Bhor,41.75,134.53,5
Bianchini,-63.85,264.71,70
Biblis Patera,2.36,236.18,53
Biblis Tholus,2.52,235.62,168
Bigbee,-24.78,325.25,20
Bira,25.1,314.46,2
Bise,20.22,303.17,9
Bison,-26.31,330.85,15
Bjerknes,-43.01,171.48,88
Bland,18.3,108.76,6
Bled,21.58,328.54,7
Blitta,-25.9,339.04,12
Blois,23.6,304.15,11
Bluff,23.47,110.03,6
Blunck,-27.23,323.1,66
Boeddicker,-14.82,162.49,107
Bogia,-44.31,83.27,37
Bogra,-24.16,331.2,21
Bok,20.58,328.4,7
Bole,25.35,306.01,8
Bombala,-27.6,106.13,37
Bond,-32.79,324.06,104
Bonestell,42.0,329.61,40
Boola,81.26,254.81,17
Bopolu,-2.96,353.7,18
Bor,18.17,326.32,4
Bordeaux,23.13,311.11,2
Boreales Scopuli,88.88,269.84,1
Boreosyrtis,54.68,70.0,0
Boreum Cavus,84.64,339.85,62
Boru,-24.34,332.13,10
Bosporos Planum,-33.87,295.51,729
Bosporos Rupes,-42.74,302.45,531
Bouguer,-18.46,27.27,107
Boulia,-22.89,111.32,9
Bozkir,-44.14,327.82,79
Bradbury,2.58,85.8,63
Brashear,-53.81,240.97,77
Brazos Valles,-6.08,18.7,387
Bree,37.64,149.63,28
Bremerhaven,23.7,311.36,2
Briault,-9.98,89.68,93
Bridgetown,21.9,312.92,1
Bristol,22.09,313.07,3
Broach,23.51,303.11,11
Bronkhorst,-10.7,304.79,17
Brush,21.7,111.34,6
Bulhar,50.36,134.52,18
Bunge,-33.82,311.41,70
Bunnik,-38.07,217.9,29
Burroughs,-72.29,117.1,112
Burton,-13.88,203.67,119
Buta,-23.25,327.59,11
Butte,-5.08,321.09,12
Buvinda Vallis,33.17,151.96,134
Byala,-25.73,293.53,26
Byrd,-65.22,127.83,123
Byske,-4.97,326.05,12
Cádiz,23.15,310.97,1
Cairns,23.56,312.54,8
Calahorra,26.46,321.35,34
Calamar,18.27,305.13,7
Calbe,-25.14,331.13,13
Calydon Fossa,-7.43,272.02,351
Camargo,17.7,109.64,4
Camichel,2.26,308.39,65
Camiling,-0.71,322.0,21
Camiri,-44.65,317.83,31
Campbell,-54.25,165.58,125
Campos,-21.8,332.19,8
Can,48.21,345.41,8
Canala,24.35,279.92,12
Cañas,-31.19,89.86,41
Canaveral,46.83,135.83,3
Canberra,47.2,132.66,3
Candor,2.96,285.0,0
Candor Chaos,-6.94,287.42,0
Candor Chasma,-6.53,289.22,810
Candor Colles,-6.63,284.43,37
Candor Labes,-4.79,284.01,134
Candor Mensa,-6.26,286.48,116
Candor Sulci,-4.92,283.15,73
Cangwu,41.85,270.41,13
Canillo,10.23,116.48,33
Cankuzo,-19.42,52.03,48
Canso,21.36,299.38,26
Cantoura,14.84,308.28,51
Capen,6.58,14.31,68
Capri Chasma,-8.27,317.93,1471
Capri Mensa,-13.73,312.81,282
Caralis Chaos,-37.2,178.6,103
Cardona,-19.65,328.02,13
Cartago,-23.25,342.03,36
Casius,39.67,100.0,0
Cassini,23.35,32.11,408
Castril,-14.7,175.3,2
Catota,51.67,333.02,1
Cave,21.61,324.36,8
Cavi Angusti,-78.16,285.25,640
Cavi Frigorēs,-78.97,300.2,228
Cavi Novi,-67.26,30.0,535
Caxias,-28.95,259.32,25
Cayon,-35.93,113.62,27
Cebrenia,49.67,150.0,0
Cecropia,59.71,40.0,0
Cefalù,23.64,321.11,5
Centauri Montes,-38.67,95.52,271
Ceraunius,19.78,267.0,0
Ceraunius Catena,37.1,251.91,50
Ceraunius Fossae,27.0,249.85,1166
Ceraunius Tholus,24.0,262.75,128
Cerberus,14.83,155.0,0
Cerberus Dorsa,-13.74,105.29,623
Cerberus Fossae,11.28,166.37,1235
Cerberus Palus,5.78,148.15,466
Cerberus Rupēs,8.3,164.6,1254
Cerberus Tholi,4.48,164.41,698
Cerulli,32.2,22.12,114
Ceti Chasma,-5.03,291.63,49
Ceti Labes,-6.78,284.27,11
Ceti Mensa,-5.89,283.98,133
Chafe,15.1,102.41,4
Chalce,-49.67,360.0,0
Chalce Fossa,-51.67,320.41,33
Chalce Montes,-53.72,322.35,100
Chalcoporos Rupēs,-55.64,20.57,404
Chaman,-60.86,50.96,47
Chamberlin,-65.84,235.71,120
Changsŏng,23.47,302.66,33
Chapais,-22.35,339.45,36
Charis Dorsum,-55.86,318.53,251
Charitum Montes,-58.1,319.71,933
Charitum Tholus,-54.68,319.0,0
Charleston,22.63,312.2,1
Charlier,-68.56,191.53,106
Charlieu,38.15,276.01,18
Charybdis Scopulus,-24.14,20.08,551
Chasma Australe,-82.35,95.03,352
Chasma Boreale,82.54,312.36,459
Chatturat,35.38,265.06,7
Chauk,23.35,304.09,9
Cheb,-24.2,340.56,8
Chefu,-22.91,112.24,11
Chekalin,-24.28,333.19,87
Chersonesus,-49.67,100.0,0
Chia,1.57,300.35,91
Chico Valles,-66.77,207.77,446
Chimbote,-1.42,320.32,62
Chincoteague,41.2,124.12,34
Chinju,-4.52,317.86,65
Chinook,22.5,304.54,18
Chive,21.68,303.99,9
Choctaw,-41.19,322.76,23
Chom,38.57,357.48,5
Choyr,-32.43,18.72,36
Chronius Mons,-61.49,178.01,56
Chrysas Mensa,-6.77,289.9,167
Chryse,9.88,330.0,0
Chryse Chaos,9.86,322.81,658
Chryse Colles,8.15,318.14,48
Chryse Planitia,28.43,319.69,1542
Chrysokeras,-49.67,250.0,0
Chupadero,6.13,83.43,8
Chur,16.93,330.69,4
Cilaos,-35.71,129.48,21
Circle,-22.17,334.47,11
Clanis Valles,33.24,58.47,58
Claritas,-34.68,250.0,0
Claritas Fossae,-27.89,255.76,2030
Claritas Rupes,-25.04,254.74,952
Clark,-55.14,226.8,97
Clasia Vallis,33.77,57.04,147
Cleia Dorsum,-54.86,314.01,131
Clogh,20.56,312.33,11
Clota Vallis,-25.59,339.5,114
Clova,21.47,307.95,7
Cluny,-23.86,332.7,14
Cobalt,-25.79,332.97,10
Coblentz,-54.9,269.69,101
Cobres,-11.7,206.4,93
Coimbra,4.18,354.69,34
Colles Nili,38.72,62.88,653
Coloe Fossae,36.65,56.78,575
Colón,22.75,312.93,1
Columbia Valles,-9.44,317.1,84
Columbus,-29.29,194.02,112
Comas Sola,-19.59,201.49,120
Conches,-4.22,325.8,20
Concord,16.53,325.98,20
Coogoon Valles,17.19,338.26,300
Cooma,-23.69,251.65,17
Copais Palus,54.68,80.0,0
Copernicus,-48.84,191.17,301
Coprates,-14.83,295.0,0
Coprates Catena,-15.0,297.91,302
Coprates Chasma,-13.37,299.26,958
Coprates Labes,-11.82,292.21,61
Coprates Mensa,-12.2,288.84,240
Coprates Montes,-13.0,294.61,350
Coracis Fossae,-35.82,279.14,748
Corby,42.88,137.56,6
Corinto,16.95,141.71,13
Coronae Montes,-34.31,86.11,247
Coronae Planum,-32.68,65.41,265
Coronae Scopulus,-33.26,64.94,245
Corozal,-38.79,159.42,8
Cost,14.98,104.02,11
Cray,44.1,343.88,6
Creel,-6.05,321.15,9
Crewe,-24.84,340.47,3
Crivitz,-14.55,174.79,6
Crommelin,5.08,349.86,110
Cross,-30.2,202.31,66
Crotone,82.21,290.69,6
Cruls,-42.91,163.03,87
Cruz,38.46,358.03,5
Cue,-35.84,93.23,10
Culter,-8.84,306.07,4
Curie,28.78,355.25,111
Cusus Valles,14.05,50.37,250
Cyane Catena,36.25,241.7,204
Cyane Fossae,31.25,238.83,913
Cyane Sulci,25.4,231.34,335
Cyclopia,-4.94,130.0,0
Cydnus Rupēs,52.53,112.21,1550
Cydonia,39.67,360.0,0
Cydonia Colles,39.07,347.78,362
Cydonia Labyrinthus,41.29,347.94,344
Cydonia Mensae,34.56,347.67,764
Cypress,-47.28,312.65,14
Daan,-40.48,91.58,12
Daedalia Planum,-18.35,234.05,1922
Daet,-7.29,318.2,10
Daga Vallis,-12.07,317.58,49
Dalu Cavus,-6.9,261.0,65
Daly,-66.29,336.88,79
Dana,-72.49,327.21,88
Danielson,7.97,352.95,64
Dank,21.96,107.0,8
Dao Vallis,-37.61,88.89,794
Darvel,17.78,308.99,22
Darwin,-56.97,340.85,176
Davies,45.96,0.09,48
Da Vinci,1.47,320.74,96
Dawes,-9.11,38.06,185
Deba,-23.95,342.7,8
Degana,-23.72,314.5,57
Dein,38.21,357.49,25
Dejnev,-25.14,195.36,152
Delta,-45.96,320.83,7
Deltoton Sinus,-3.95,55.0,0
Denning,-17.43,33.52,159
Depressio Hellespontica,-59.71,20.0,0
Dersu,22.64,308.11,5
Dese,-45.41,329.39,13
Deseado,-80.62,70.29,27
Dessau,-42.76,306.87,9
Deucalionis Regio,-14.83,20.0,0
Deuteronilus,34.68,360.0,0
Deuteronilus Colles,41.95,21.7,59
Deuteronilus Mensae,45.11,23.92,919
de Vaucouleurs,-13.31,171.0,302
Deva Valles,-7.81,203.1,0
Deva Vallis,-7.67,203.13,53
Dia-Cau,-0.36,317.34,29
Diacria,49.67,180.0,0
Diacria Patera,34.58,227.4,65
Dilly,13.27,157.22,2
Dingo,-23.71,342.51,15
Dinorwic,-30.03,258.54,51
Dionysus Patera,17.96,226.77,23
Dioscuria,49.67,40.0,0
Dison,-25.03,343.5,20
Dittaino Valles,-1.43,293.14,157
Dixie,17.78,304.09,28
